Year Released,Album Length,Album Name,Artist
2016,3369161,The Art of Hustle (Deluxe),Yo Gotti
2015,2007011,CM8: Any Hood America,Yo Gotti
2015,3955273,Cocaine Muzik,Yo Gotti
2015,4157069,I Told U So,Yo Gotti
2015,2251301,January 10th,Yo Gotti
2015,2864913,Cocaine Muzik 4: Gangsta Grillz,Yo Gotti
2015,1709606,Nov. 19th,Yo Gotti
2015,4115804,CM6: Gangsta of the Year,Yo Gotti
2015,2956437,Cocaine Muzik 4.5 (Da Documentary),Yo Gotti
2015,2169412,Cocaine Muzik 5: White Friday,Yo Gotti
2015,3830180,CM7: The World Is Yours,Yo Gotti
2015,2433428,Cocaine Muzik 3,Yo Gotti
2015,3058071,Before Beef,Yo Gotti
2013,2974036,I Am,Yo Gotti
2013,2423582,Mo Thugs Presents: In the Mix by Yo Gotti,Yo Gotti
2012,2988222,Live From The Kitchen,Yo Gotti
2012,2988222,Live From The Kitchen,Yo Gotti
2011,4793381,Definition Of A Trap Nigga,Yo Gotti
2010,5484461,Life,Yo Gotti
2009,2686958,CM2,Yo Gotti
2009,2629743,CM2 (Clean),Yo Gotti
2008,3357753,Feed The Streets: Special Delivery,Yo Gotti
2022,4725266,Mr. Morale & The Big Steppers,Kendrick Lamar
2022,4725266,Mr. Morale & The Big Steppers,Kendrick Lamar
2018,2958567,Black Panther The Album Music From And Inspired By,Kendrick Lamar
2018,2958567,Black Panther The Album Music From And Inspired By,Kendrick Lamar
2017,3300969,DAMN. COLLECTORS EDITION.,Kendrick Lamar
2017,3300969,DAMN.,Kendrick Lamar
2017,3300969,DAMN.,Kendrick Lamar
2016,2049102,untitled unmastered.,Kendrick Lamar
2015,4739609,To Pimp A Butterfly,Kendrick Lamar
2012,5252649,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar
2012,5531449,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar
2012,4380263,"good kid, m.A.A.d city",Kendrick Lamar
2011,3272570,Section.80,Kendrick Lamar
2010,3217710,Overly Dedicated,Kendrick Lamar
2022,2429699,23,Central Cee
2021,2312475,Wild West,Central Cee
2021,5109172,SoulFly (Deluxe Version),Rod Wave
2021,3421388,SoulFly,Rod Wave
2020,4299321,Pray 4 Love (Deluxe),Rod Wave
2020,2317781,Pray 4 Love,Rod Wave
2019,2391750,Ghetto Gospel,Rod Wave
2019,1997176,PTSD,Rod Wave
2018,1895329,Hunger Games 3,Rod Wave
2018,1676277,Hunger Games 2,Rod Wave
2018,2898235,Invasion of Privacy,Cardi B
2018,2898235,Invasion of Privacy,Cardi B
2017,1711507,Gangsta Bitch Music Vol. 2,Cardi B
2016,1997134,Gangsta Bitch Music Vol 1,Cardi B
2021,2702897,Something for Thee Hotties,Megan Thee Stallion
2021,2700760,Something for Thee Hotties,Megan Thee Stallion
2020,2990683,Good News,Megan Thee Stallion
2020,2990683,Good News,Megan Thee Stallion
2020,1975383,Suga (Chopnotslop Remix),Megan Thee Stallion
2020,1473024,Suga,Megan Thee Stallion
2020,1473024,Suga,Megan Thee Stallion
2019,2409111,Fever,Megan Thee Stallion
2019,2413533,Fever,Megan Thee Stallion
2018,1816152,Tina Snow,Megan Thee Stallion
2018,1746517,Make It Hot (ChopNotSlop Remix),Megan Thee Stallion
2017,1435403,Make It Hot,Megan Thee Stallion
2020,2854978,Hitkidd For President: 2020,Hitkidd
2019,1536049,Masterplan,Hitkidd
2018,2515691,Mastermind,Hitkidd
2022,2747893,Rebel vs. Rowdy,Rowdy Rebel
2022,2782170,Rebel vs. Rowdy,Rowdy Rebel
2016,3365583,Shmoney Keeps Calling,Rowdy Rebel
2015,1423345,Remain Silent,Rowdy Rebel
2020,3559414,Demons R Us,Doe Boy
2020,3572131,Demons R Us,Doe Boy
2020,1197897,Blood On The Hills,Pyrex
2018,2808133,Swervo,G Herbo
2018,3713164,Trap Ye Season 2,Southside
2022,2813574,A Kid Named Cudi,Kid Cudi
2022,4878317,The Boy Who Flew To The Moon (Vol. 1),Kid Cudi
2020,3504154,Man On The Moon III: The Chosen,Kid Cudi
2018,1432344,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2018,1432307,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2016,5219221,"Passion, Pain & Demon Slayin'",Kid Cudi
2015,5494017,Speedin' Bullet 2 Heaven,Kid Cudi
2014,2473784,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,Kid Cudi
2014,2473783,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,Kid Cudi
2013,4252915,Indicud,Kid Cudi
2013,4252915,Indicud,Kid Cudi
2010,3723981,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi
2010,3723995,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi
2009,3515955,Man On The Moon: The End Of Day,Kid Cudi
2009,4088741,Man On The Moon: The End Of Day (Deluxe),Kid Cudi
2009,3515969,Man On The Moon: The End Of Day,Kid Cudi
2021,3693958,Still Sleep? (Deluxe),Sleepy Hallow
2021,2049663,Still Sleep?,Sleepy Hallow
2020,1679422,Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow
2019,1988489,DON'T SLEEP,Sleepy Hallow
2019,1995689,DON'T SLEEP,Sleepy Hallow
2022,2704559,Come Home The Kids Miss You,Jack Harlow
2022,2704051,Come Home The Kids Miss You,Jack Harlow
2020,2556937,Thats What They All Say,Jack Harlow
2020,2556937,Thats What They All Say,Jack Harlow
2020,999714,Sweet Action,Jack Harlow
2020,999714,Sweet Action,Jack Harlow
2019,2063644,Confetti,Jack Harlow
2019,2063644,Confetti,Jack Harlow
2018,2440956,Loose,Jack Harlow
2017,2071826,Gazebo,Jack Harlow
2016,1537829,18,Jack Harlow
2022,2973724,Twelve Carat Toothache (Deluxe),Post Malone
2022,2598578,Twelve Carat Toothache,Post Malone
2019,3064235,Hollywood's Bleeding,Post Malone
2018,3854045,beerbongs & bentleys,Post Malone
2016,7678798,Stoney (Complete Edition),Post Malone
2016,4102926,Stoney (Deluxe),Post Malone
2022,3216075,B.I.B.L.E.,Fivio Foreign
2022,3085178,B.I.B.L.E.,Fivio Foreign
2020,1454146,800 BC,Fivio Foreign
2020,1454114,800 BC,Fivio Foreign
2021,7865236,Donda (Deluxe),Kanye West
2021,6539171,Donda,Kanye West
2019,1624134,JESUS IS KING,Kanye West
2018,1423757,ye,Kanye West
2016,3960077,The Life Of Pablo,Kanye West
2016,3593816,The Life Of Pablo,Kanye West
2013,2404623,Yeezus,Kanye West
2011,4073915,Watch The Throne (Deluxe),JAY-Z
2011,2777782,Watch The Throne,JAY-Z
2010,4121074,My Beautiful Dark Twisted Fantasy,Kanye West
2010,4121701,My Beautiful Dark Twisted Fantasy,Kanye West
2008,3125170,808s & Heartbreak,Kanye West
2007,3269262,Graduation,Kanye West
2005,4202219,Late Registration,Kanye West
2004,4583419,The College Dropout,Kanye West
2022,3563490,Khaza,Kevin Gates
2021,2480309,Only The Generals Part II,Kevin Gates
2020,3564101,Khaza,Kevin Gates
2019,2954743,I'm Him,Kevin Gates
2019,2954743,I'm Him,Kevin Gates
2018,3499812,Luca Brasi 3,Kevin Gates
2017,2779386,By Any Means 2,Kevin Gates
2016,1755914,Murder for Hire 2,Kevin Gates
2016,3812450,Islah (Deluxe),Kevin Gates
2016,1755914,Murder for Hire 2,Kevin Gates
2014,3799238,Luca Brasi 2: Gangsta Grillz,Kevin Gates
2014,3349761,By Any Means,Kevin Gates
2013,2612253,Stranger Than Fiction,Kevin Gates
2013,1876036,Luca Brasi Story,Kevin Gates
2012,4142239,Make 'em Believe,Kevin Gates
2011,3200920,"""I Don't Know What To Call It"" Vol. 1",Kevin Gates
2011,1694481,Drug Dealer Potential,Kevin Gates
2010,3287909,All In,Kevin Gates
2009,3416303,Behind Enemy Lines,Kevin Gates
2017,2996057,Hidden Figures - Original Score,Hans Zimmer
2014,3048690,G I R L,Pharrell Williams
2006,7491204,In My Mind (Deluxe Edition),Pharrell Williams
2006,3865210,In My Mind,Pharrell Williams
2021,3821220,The Melodic Blue,Baby Keem
2021,3221386,The Melodic Blue,Baby Keem
2019,2045065,DIE FOR MY BITCH,Baby Keem
2018,1320547,The Sound of Bad Habit,Baby Keem
2019,1585482,Keep in Touch,Armani White
